quarter,time,score,side,action,ev_class,raw_text
רבע 3,03:51,43-56,home,6. ים שפריר אסיסט,even quarter-3 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר אסיסט רבע 3 03:51 43-56
רבע 3,03:51,43-56,home,9. עמרי שלף קליעה 3 נק׳ (jumpshot),odd quarter-3 key-threepm sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,9. עמרי שלף קליעה 3 נק׳ (jumpshot) רבע 3 03:51 43-56
רבע 3,04:14,43-53,away,21. נועם יעקובי קליעת עונשין (2of2),odd quarter-3 key-ftm sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 04:14 43-53 21. נועם יעקובי קליעת עונשין (2of2)
רבע 3,04:14,42-53,away,21. נועם יעקובי זריקת עונשין (1of2),even quarter-3 key-fta sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 04:14 42-53 21. נועם יעקובי זריקת עונשין (1of2)
רבע 3,04:15,42-53,away,9. עמית ראובן שחקן נכנס למשחק,odd quarter-3 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 04:15 42-53 9. עמית ראובן שחקן נכנס למשחק
רבע 3,04:15,42-53,away,6. אמרי שביט שחקן יוצא מהמגרש,even quarter-3 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 04:15 42-53 6. אמרי שביט שחקן יוצא מהמגרש
רבע 3,04:15,42-53,home,6. ים שפריר שחקן נכנס למשחק,odd quarter-3 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר שחקן נכנס למשחק רבע 3 04:15 42-53
רבע 3,04:15,42-53,home,23. נבו זומרפלד שחקן יוצא מהמגרש,even quarter-3 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,23. נבו זומרפלד שחקן יוצא מהמגרש רבע 3 04:15 42-53
רבע 3,04:15,42-53,away,21. נועם יעקובי סחט עבירה,odd quarter-3 key-pfa sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 04:15 42-53 21. נועם יעקובי סחט עבירה
רבע 3,04:15,42-53,home,23. נבו זומרפלד עבירה אישית (personal),even quarter-3 key-pf sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,23. נבו זומרפלד עבירה אישית (personal) רבע 3 04:15 42-53
רבע 3,04:18,42-53,away,21. נועם יעקובי חטיפה,odd quarter-3 key-stl sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 04:18 42-53 21. נועם יעקובי חטיפה
רבע 3,04:18,42-53,home,9. עמרי שלף איבוד כדור,odd quarter-3 key-to sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,9. עמרי שלף איבוד כדור רבע 3 04:18 42-53
