quarter,time,score,side,action,ev_class,raw_text
רבע 2,00:34,41-42,away,77. דווייט וילסון ריבאונד הגנה,odd quarter-2 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 00:34 41-42 77. דווייט וילסון ריבאונד הגנה
רבע 2,00:36,41-42,home,9. עמרי שלף החטיא 3 נק׳ (jumpshot),even quarter-2 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,9. עמרי שלף החטיא 3 נק׳ (jumpshot) רבע 2 00:36 41-42
רבע 2,00:54,41-42,away,4. שחר שלמון שחקן נכנס למשחק,even quarter-2 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 00:54 41-42 4. שחר שלמון שחקן נכנס למשחק
רבע 2,00:54,41-42,away,3. רוברט טרנר שחקן יוצא מהמגרש,odd quarter-2 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 00:54 41-42 3. רוברט טרנר שחקן יוצא מהמגרש
רבע 2,00:54,41-42,home,6. ים שפריר שחקן נכנס למשחק,even quarter-2 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר שחקן נכנס למשחק רבע 2 00:54 41-42
רבע 2,00:54,41-42,home,1. איתם כהן שחקן יוצא מהמגרש,odd quarter-2 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,1. איתם כהן שחקן יוצא מהמגרש רבע 2 00:54 41-42
רבע 2,00:54,41-42,home,מ.כ עוטף דרום פסק זמן,even quarter-2 key-tmo sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,מ.כ עוטף דרום פסק זמן רבע 2 00:54 41-42
רבע 2,00:55,41-42,away,77. דווייט וילסון אסיסט,odd quarter-2 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 00:55 41-42 77. דווייט וילסון אסיסט
רבע 2,00:55,41-42,away,7. רביב פיטשון קליעה 2 נק׳ (layup),odd quarter-2 key-fgm sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 00:55 41-42 7. רביב פיטשון קליעה 2 נק׳ (layup)
רבע 2,01:02,39-42,away,11. בר שינבוים חטיפה,even quarter-2 key-stl sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 01:02 39-42 11. בר שינבוים חטיפה
רבע 2,01:02,39-42,home,33. עילי שאול איבוד כדור,odd quarter-2 key-to sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,33. עילי שאול איבוד כדור רבע 2 01:02 39-42
רבע 2,01:06,39-42,home,5. קינדל היל ריבאונד הגנה,even quarter-2 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,5. קינדל היל ריבאונד הגנה רבע 2 01:06 39-42
רבע 2,01:09,39-42,away,3. רוברט טרנר החטיא 2 נק׳ (layup),odd quarter-2 key-fga sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 01:09 39-42 3. רוברט טרנר החטיא 2 נק׳ (layup)
רבע 2,01:24,39-42,home,9. עמרי שלף איבוד כדור,odd quarter-2 key-to sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,9. עמרי שלף איבוד כדור רבע 2 01:24 39-42
רבע 2,01:38,39-42,away,3. רוברט טרנר אסיסט,odd quarter-2 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 01:38 39-42 3. רוברט טרנר אסיסט
רבע 2,01:38,39-42,away,7. רביב פיטשון קליעה 3 נק׳ (jumpshot),even quarter-2 key-threepm sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 01:38 39-42 7. רביב פיטשון קליעה 3 נק׳ (jumpshot)
רבע 2,01:46,36-42,away,9. עמית ראובן שחקן נכנס למשחק,even quarter-2 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 01:46 36-42 9. עמית ראובן שחקן נכנס למשחק
רבע 2,01:46,36-42,away,4. שחר שלמון שחקן יוצא מהמגרש,odd quarter-2 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 01:46 36-42 4. שחר שלמון שחקן יוצא מהמגרש
רבע 2,01:46,36-42,away,מכבי אשדוד ריבאונד התקפה,even quarter-2 key-off sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 01:46 36-42 מכבי אשדוד ריבאונד התקפה
רבע 2,01:47,36-42,home,9. עמרי שלף חסימה של,odd quarter-2 key-blk sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,9. עמרי שלף חסימה של רבע 2 01:47 36-42
רבע 2,01:47,36-42,away,11. בר שינבוים החטיא 2 נק׳ (layup),odd quarter-2 key-fga sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 01:47 36-42 11. בר שינבוים החטיא 2 נק׳ (layup)
רבע 2,02:01,36-42,away,77. דווייט וילסון ריבאונד הגנה,even quarter-2 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 02:01 36-42 77. דווייט וילסון ריבאונד הגנה
רבע 2,02:01,36-42,home,33. עילי שאול זריקת עונשין (1of1),even quarter-2 key-fta sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,33. עילי שאול זריקת עונשין (1of1) רבע 2 02:01 36-42
רבע 2,02:02,36-42,away,3. רוברט טרנר שחקן נכנס למשחק,even quarter-2 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 02:02 36-42 3. רוברט טרנר שחקן נכנס למשחק
רבע 2,02:02,36-42,away,21. נועם יעקובי שחקן יוצא מהמגרש,odd quarter-2 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 02:02 36-42 21. נועם יעקובי שחקן יוצא מהמגרש
רבע 2,02:02,36-42,home,33. עילי שאול סחט עבירה,even quarter-2 key-pfa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,33. עילי שאול סחט עבירה רבע 2 02:02 36-42
רבע 2,02:02,36-42,away,21. נועם יעקובי עבירה אישית (personal),odd quarter-2 key-pf sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 02:02 36-42 21. נועם יעקובי עבירה אישית (personal)
רבע 2,02:02,36-42,home,5. קינדל היל אסיסט,even quarter-2 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,5. קינדל היל אסיסט רבע 2 02:02 36-42
רבע 2,02:02,36-42,home,33. עילי שאול קליעה 2 נק׳ (layup),odd quarter-2 key-fgm sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,33. עילי שאול קליעה 2 נק׳ (layup) רבע 2 02:02 36-42
רבע 2,02:23,36-40,away,7. רביב פיטשון קליעה 2 נק׳ (layup),odd quarter-2 key-fgm sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 02:23 36-40 7. רביב פיטשון קליעה 2 נק׳ (layup)
רבע 2,02:28,34-40,away,21. נועם יעקובי סחט עבירה,odd quarter-2 key-pfa sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 02:28 34-40 21. נועם יעקובי סחט עבירה
רבע 2,02:28,34-40,home,1. איתם כהן עבירה אישית (personal),even quarter-2 key-pf sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,1. איתם כהן עבירה אישית (personal) רבע 2 02:28 34-40
רבע 2,02:37,34-40,away,77. דווייט וילסון ריבאונד הגנה,even quarter-2 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 02:37 34-40 77. דווייט וילסון ריבאונד הגנה
רבע 2,02:40,34-40,home,7. גל שטרנברג החטיא 3 נק׳ (jumpshot),odd quarter-2 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,7. גל שטרנברג החטיא 3 נק׳ (jumpshot) רבע 2 02:40 34-40
רבע 2,02:49,34-40,away,11. בר שינבוים שחקן נכנס למשחק,odd quarter-2 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 02:49 34-40 11. בר שינבוים שחקן נכנס למשחק
רבע 2,02:49,34-40,away,3. רוברט טרנר שחקן יוצא מהמגרש,even quarter-2 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 02:49 34-40 3. רוברט טרנר שחקן יוצא מהמגרש
רבע 2,02:49,34-40,home,33. עילי שאול סחט עבירה,odd quarter-2 key-pfa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,33. עילי שאול סחט עבירה רבע 2 02:49 34-40
רבע 2,02:49,34-40,away,4. שחר שלמון עבירה אישית (personal),even quarter-2 key-pf sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 02:49 34-40 4. שחר שלמון עבירה אישית (personal)
רבע 2,02:52,34-40,home,5. קינדל היל ריבאונד הגנה,even quarter-2 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,5. קינדל היל ריבאונד הגנה רבע 2 02:52 34-40
רבע 2,02:57,34-40,away,3. רוברט טרנר החטיא 2 נק׳ (jumpshot),odd quarter-2 key-fga sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 02:57 34-40 3. רוברט טרנר החטיא 2 נק׳ (jumpshot)
רבע 2,03:14,34-40,home,33. עילי שאול קליעת עונשין (2of2),even quarter-2 key-ftm sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,33. עילי שאול קליעת עונשין (2of2) רבע 2 03:14 34-40
רבע 2,03:14,34-39,home,33. עילי שאול זריקת עונשין (1of2),odd quarter-2 key-fta sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,33. עילי שאול זריקת עונשין (1of2) רבע 2 03:14 34-39
רבע 2,03:14,34-39,away,7. רביב פיטשון שחקן נכנס למשחק,even quarter-2 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 03:14 34-39 7. רביב פיטשון שחקן נכנס למשחק
רבע 2,03:14,34-39,away,6. אמרי שביט שחקן יוצא מהמגרש,odd quarter-2 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 03:14 34-39 6. אמרי שביט שחקן יוצא מהמגרש
רבע 2,03:14,34-39,home,33. עילי שאול סחט עבירה,even quarter-2 key-pfa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,33. עילי שאול סחט עבירה רבע 2 03:14 34-39
רבע 2,03:14,34-39,away,6. אמרי שביט עבירה אישית (personal),odd quarter-2 key-pf sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 03:14 34-39 6. אמרי שביט עבירה אישית (personal)
רבע 2,03:31,34-39,away,21. נועם יעקובי שחקן נכנס למשחק,odd quarter-2 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 03:31 34-39 21. נועם יעקובי שחקן נכנס למשחק
רבע 2,03:31,34-39,away,9. עמית ראובן שחקן יוצא מהמגרש,even quarter-2 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 03:31 34-39 9. עמית ראובן שחקן יוצא מהמגרש
רבע 2,03:31,34-39,home,5. קינדל היל סחט עבירה,odd quarter-2 key-pfa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,5. קינדל היל סחט עבירה רבע 2 03:31 34-39
רבע 2,03:31,34-39,away,6. אמרי שביט איבוד כדור,even quarter-2 key-to sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 03:31 34-39 6. אמרי שביט איבוד כדור
רבע 2,03:31,34-39,away,6. אמרי שביט עבירה אישית (offensive),odd quarter-2 key-pf sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 03:31 34-39 6. אמרי שביט עבירה אישית (offensive)
רבע 2,03:47,34-39,home,33. עילי שאול קליעה 2 נק׳ (jumpshot),odd quarter-2 key-fgm sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,33. עילי שאול קליעה 2 נק׳ (jumpshot) רבע 2 03:47 34-39
רבע 2,03:54,34-37,home,33. עילי שאול חטיפה,even quarter-2 key-stl sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,33. עילי שאול חטיפה רבע 2 03:54 34-37
רבע 2,03:54,34-37,away,77. דווייט וילסון איבוד כדור,odd quarter-2 key-to sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 03:54 34-37 77. דווייט וילסון איבוד כדור
רבע 2,04:13,34-37,away,4. שחר שלמון שחקן נכנס למשחק,odd quarter-2 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 04:13 34-37 4. שחר שלמון שחקן נכנס למשחק
רבע 2,04:13,34-37,away,32. בן גולד שחקן יוצא מהמגרש,even quarter-2 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 04:13 34-37 32. בן גולד שחקן יוצא מהמגרש
רבע 2,04:13,34-37,home,1. איתם כהן שחקן נכנס למשחק,odd quarter-2 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,1. איתם כהן שחקן נכנס למשחק רבע 2 04:13 34-37
רבע 2,04:13,34-37,home,6. ים שפריר שחקן יוצא מהמגרש,even quarter-2 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר שחקן יוצא מהמגרש רבע 2 04:13 34-37
רבע 2,04:13,34-37,away,מכבי אשדוד פסק זמן,odd quarter-2 key-tmo sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 04:13 34-37 מכבי אשדוד פסק זמן
רבע 2,04:13,34-37,home,6. ים שפריר אסיסט,even quarter-2 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר אסיסט רבע 2 04:13 34-37
רבע 2,04:13,34-37,home,9. עמרי שלף קליעה 3 נק׳ (jumpshot),odd quarter-2 key-threepm sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,9. עמרי שלף קליעה 3 נק׳ (jumpshot) רבע 2 04:13 34-37
רבע 2,04:13,34-34,home,5. קינדל היל ריבאונד התקפה,odd quarter-2 key-off sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,5. קינדל היל ריבאונד התקפה רבע 2 04:13 34-34
רבע 2,04:18,34-34,home,33. עילי שאול החטיא 2 נק׳ (layup),even quarter-2 key-fga sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,33. עילי שאול החטיא 2 נק׳ (layup) רבע 2 04:18 34-34
רבע 2,04:32,34-34,home,9. עמרי שלף ריבאונד הגנה,odd quarter-2 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,9. עמרי שלף ריבאונד הגנה רבע 2 04:32 34-34
רבע 2,04:36,34-34,away,9. עמית ראובן החטיא 3 נק׳ (jumpshot),even quarter-2 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 04:36 34-34 9. עמית ראובן החטיא 3 נק׳ (jumpshot)
רבע 2,04:43,34-34,home,9. עמרי שלף קליעה 3 נק׳ (jumpshot),odd quarter-2 key-threepm sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,9. עמרי שלף קליעה 3 נק׳ (jumpshot) רבע 2 04:43 34-34
רבע 2,04:57,34-31,away,3. רוברט טרנר אסיסט,even quarter-2 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 04:57 34-31 3. רוברט טרנר אסיסט
רבע 2,04:57,34-31,away,77. דווייט וילסון קליעה 2 נק׳ (layup),odd quarter-2 key-fgm sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 04:57 34-31 77. דווייט וילסון קליעה 2 נק׳ (layup)
רבע 2,05:13,32-31,away,6. אמרי שביט ריבאונד הגנה,even quarter-2 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 05:13 32-31 6. אמרי שביט ריבאונד הגנה
רבע 2,05:13,32-31,home,33. עילי שאול זריקת עונשין (2of2),even quarter-2 key-fta sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,33. עילי שאול זריקת עונשין (2of2) רבע 2 05:13 32-31
רבע 2,05:13,32-31,home,33. עילי שאול קליעת עונשין (1of2),odd quarter-2 key-ftm sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,33. עילי שאול קליעת עונשין (1of2) רבע 2 05:13 32-31
רבע 2,05:13,32-30,home,33. עילי שאול סחט עבירה,even quarter-2 key-pfa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,33. עילי שאול סחט עבירה רבע 2 05:13 32-30
רבע 2,05:13,32-30,away,3. רוברט טרנר עבירה אישית (personal),odd quarter-2 key-pf sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 05:13 32-30 3. רוברט טרנר עבירה אישית (personal)
רבע 2,05:33,32-30,away,9. עמית ראובן אסיסט,odd quarter-2 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 05:33 32-30 9. עמית ראובן אסיסט
רבע 2,05:33,32-30,away,32. בן גולד קליעה 3 נק׳ (jumpshot),even quarter-2 key-threepm sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 05:33 32-30 32. בן גולד קליעה 3 נק׳ (jumpshot)
רבע 2,05:48,29-30,home,7. גל שטרנברג אסיסט,odd quarter-2 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,7. גל שטרנברג אסיסט רבע 2 05:48 29-30
רבע 2,05:48,29-30,home,5. קינדל היל קליעה 2 נק׳ (layup),even quarter-2 key-fgm sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,5. קינדל היל קליעה 2 נק׳ (layup) רבע 2 05:48 29-30
רבע 2,05:56,29-28,away,77. דווייט וילסון קליעה 2 נק׳ (tipinlayup),odd quarter-2 key-fgm sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 05:56 29-28 77. דווייט וילסון קליעה 2 נק׳ (tipinlayup)
רבע 2,06:05,27-28,away,77. דווייט וילסון ריבאונד התקפה,even quarter-2 key-off sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 06:05 27-28 77. דווייט וילסון ריבאונד התקפה
רבע 2,06:08,27-28,away,77. דווייט וילסון החטיא 2 נק׳ (tipinlayup),odd quarter-2 key-fga sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 06:08 27-28 77. דווייט וילסון החטיא 2 נק׳ (tipinlayup)
רבע 2,06:08,27-28,away,77. דווייט וילסון ריבאונד התקפה,even quarter-2 key-off sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 06:08 27-28 77. דווייט וילסון ריבאונד התקפה
רבע 2,06:15,27-28,away,77. דווייט וילסון החטיא 2 נק׳ (layup),odd quarter-2 key-fga sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 06:15 27-28 77. דווייט וילסון החטיא 2 נק׳ (layup)
רבע 2,06:22,27-28,away,6. אמרי שביט ריבאונד הגנה,even quarter-2 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 06:22 27-28 6. אמרי שביט ריבאונד הגנה
רבע 2,06:25,27-28,home,9. עמרי שלף החטיא 3 נק׳ (jumpshot),odd quarter-2 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,9. עמרי שלף החטיא 3 נק׳ (jumpshot) רבע 2 06:25 27-28
רבע 2,06:37,27-28,away,77. דווייט וילסון קליעת עונשין (1of1),odd quarter-2 key-ftm sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 06:37 27-28 77. דווייט וילסון קליעת עונשין (1of1)
רבע 2,06:37,26-28,home,33. עילי שאול שחקן נכנס למשחק,even quarter-2 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,33. עילי שאול שחקן נכנס למשחק רבע 2 06:37 26-28
רבע 2,06:37,26-28,home,7. גל שטרנברג שחקן נכנס למשחק,odd quarter-2 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,7. גל שטרנברג שחקן נכנס למשחק רבע 2 06:37 26-28
רבע 2,06:37,26-28,home,16. אוהד דקל שחקן יוצא מהמגרש,even quarter-2 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,16. אוהד דקל שחקן יוצא מהמגרש רבע 2 06:37 26-28
רבע 2,06:37,26-28,home,15. יונתן קלר שחקן יוצא מהמגרש,odd quarter-2 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,15. יונתן קלר שחקן יוצא מהמגרש רבע 2 06:37 26-28
רבע 2,06:37,26-28,home,מ.כ עוטף דרום פסק זמן,even quarter-2 key-tmo sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,מ.כ עוטף דרום פסק זמן רבע 2 06:37 26-28
רבע 2,06:37,26-28,away,77. דווייט וילסון סחט עבירה,odd quarter-2 key-pfa sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 06:37 26-28 77. דווייט וילסון סחט עבירה
רבע 2,06:37,26-28,home,16. אוהד דקל עבירה אישית (personal),even quarter-2 key-pf sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,16. אוהד דקל עבירה אישית (personal) רבע 2 06:37 26-28
רבע 2,06:37,26-28,away,9. עמית ראובן אסיסט,odd quarter-2 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 06:37 26-28 9. עמית ראובן אסיסט
רבע 2,06:37,26-28,away,77. דווייט וילסון קליעה 2 נק׳ (layup),even quarter-2 key-fgm sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 06:37 26-28 77. דווייט וילסון קליעה 2 נק׳ (layup)
רבע 2,06:44,24-28,away,77. דווייט וילסון ריבאונד הגנה,even quarter-2 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 06:44 24-28 77. דווייט וילסון ריבאונד הגנה
רבע 2,06:48,24-28,home,16. אוהד דקל החטיא 3 נק׳ (jumpshot),odd quarter-2 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,16. אוהד דקל החטיא 3 נק׳ (jumpshot) רבע 2 06:48 24-28
רבע 2,07:09,24-28,away,9. עמית ראובן אסיסט,even quarter-2 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 07:09 24-28 9. עמית ראובן אסיסט
רבע 2,07:09,24-28,away,6. אמרי שביט קליעה 2 נק׳ (layup),odd quarter-2 key-fgm sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 07:09 24-28 6. אמרי שביט קליעה 2 נק׳ (layup)
רבע 2,07:21,22-28,home,9. עמרי שלף שחקן נכנס למשחק,odd quarter-2 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,9. עמרי שלף שחקן נכנס למשחק רבע 2 07:21 22-28
רבע 2,07:21,22-28,home,23. נבו זומרפלד שחקן יוצא מהמגרש,even quarter-2 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,23. נבו זומרפלד שחקן יוצא מהמגרש רבע 2 07:21 22-28
רבע 2,07:21,22-28,away,9. עמית ראובן סחט עבירה,odd quarter-2 key-pfa sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 07:21 22-28 9. עמית ראובן סחט עבירה
רבע 2,07:21,22-28,home,6. ים שפריר עבירה אישית (personal),even quarter-2 key-pf sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר עבירה אישית (personal) רבע 2 07:21 22-28
רבע 2,07:22,22-28,away,32. בן גולד ריבאונד הגנה,even quarter-2 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 07:22 22-28 32. בן גולד ריבאונד הגנה
רבע 2,07:27,22-28,home,6. ים שפריר החטיא 3 נק׳ (jumpshot),odd quarter-2 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר החטיא 3 נק׳ (jumpshot) רבע 2 07:27 22-28
רבע 2,07:35,22-28,away,32. בן גולד שחקן נכנס למשחק,odd quarter-2 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 07:35 22-28 32. בן גולד שחקן נכנס למשחק
רבע 2,07:35,22-28,away,11. בר שינבוים שחקן יוצא מהמגרש,even quarter-2 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 07:35 22-28 11. בר שינבוים שחקן יוצא מהמגרש
רבע 2,07:35,22-28,away,3. רוברט טרנר איבוד כדור,odd quarter-2 key-to sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 07:35 22-28 3. רוברט טרנר איבוד כדור
רבע 2,08:02,22-28,home,15. יונתן קלר אסיסט,odd quarter-2 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,15. יונתן קלר אסיסט רבע 2 08:02 22-28
רבע 2,08:02,22-28,home,6. ים שפריר קליעה 3 נק׳ (jumpshot),even quarter-2 key-threepm sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר קליעה 3 נק׳ (jumpshot) רבע 2 08:02 22-28
רבע 2,08:20,22-25,home,15. יונתן קלר ריבאונד הגנה,odd quarter-2 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,15. יונתן קלר ריבאונד הגנה רבע 2 08:20 22-25
רבע 2,08:24,22-25,away,3. רוברט טרנר החטיא 3 נק׳ (jumpshot),even quarter-2 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 08:24 22-25 3. רוברט טרנר החטיא 3 נק׳ (jumpshot)
רבע 2,08:28,22-25,away,11. בר שינבוים ריבאונד התקפה,odd quarter-2 key-off sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 08:28 22-25 11. בר שינבוים ריבאונד התקפה
רבע 2,08:34,22-25,away,9. עמית ראובן החטיא 3 נק׳ (jumpshot),even quarter-2 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 08:34 22-25 9. עמית ראובן החטיא 3 נק׳ (jumpshot)
רבע 2,08:52,22-25,home,15. יונתן קלר איבוד כדור,odd quarter-2 key-to sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,15. יונתן קלר איבוד כדור רבע 2 08:52 22-25
רבע 2,09:02,22-25,home,15. יונתן קלר ריבאונד הגנה,odd quarter-2 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,15. יונתן קלר ריבאונד הגנה רבע 2 09:02 22-25
רבע 2,09:08,22-25,away,3. רוברט טרנר החטיא 2 נק׳ (layup),even quarter-2 key-fga sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 09:08 22-25 3. רוברט טרנר החטיא 2 נק׳ (layup)
