match_id,our_side,quarter,time_clock,time_played,time_played_seconds,a1,a2,a3,a4,a5,diff,b1,b2,b3,b4,b5,a_lineup_key,b_lineup_key
741761,home,1,05:27,04:33,273,1,5,7,9,33,9,3,6,9,32,77,1-5-7-9-33,3-6-9-32-77
741761,home,1,03:22,02:05,125,1,5,7,8,9,-1,3,6,9,32,77,1-5-7-8-9,3-6-9-32-77
741761,home,1,03:14,00:08,8,1,5,7,8,9,0,3,6,9,32,33,1-5-7-8-9,3-6-9-32-33
741761,home,1,02:41,00:33,33,1,5,7,8,9,0,3,6,9,32,33,1-5-7-8-9,3-6-9-32-33
741761,home,1,01:45,00:56,56,1,5,7,8,9,-1,3,6,9,16,32,1-5-7-8-9,3-6-9-16-32
741761,home,1,00:00,01:45,105,1,5,7,8,9,-4,1,3,6,9,16,1-5-7-8-9,1-3-6-9-16
741761,home,2,08:43,01:17,77,1,5,7,8,9,6,3,5,6,9,16,1-5-7-8-9,3-5-6-9-16
741761,home,2,07:38,01:05,65,1,5,7,8,9,0,3,5,6,9,16,1-5-7-8-9,3-5-6-9-16
741761,home,2,06:37,01:01,61,1,5,7,8,9,-3,3,5,9,15,16,1-5-7-8-9,3-5-9-15-16
741761,home,2,06:29,00:08,8,1,5,7,8,9,0,3,5,15,16,23,1-5-7-8-9,3-5-15-16-23
741761,home,2,06:03,00:26,26,1,5,7,8,9,3,3,5,15,16,23,1-5-7-8-9,3-5-15-16-23
741761,home,2,03:25,02:38,158,0,1,5,8,9,-6,3,5,7,15,23,0-1-5-8-9,3-5-7-15-23
741761,home,2,02:21,01:04,64,0,1,5,8,9,2,3,5,7,23,25,0-1-5-8-9,3-5-7-23-25
741761,home,2,01:47,00:34,34,0,1,5,9,17,-4,3,9,16,23,25,0-1-5-9-17,3-9-16-23-25
741761,home,2,01:01,00:46,46,0,1,5,9,17,0,3,6,9,16,25,0-1-5-9-17,3-6-9-16-25
741761,home,2,00:09,00:52,52,0,1,5,9,17,-2,3,5,6,16,25,0-1-5-9-17,3-5-6-16-25
741761,home,2,00:00,00:09,9,0,1,5,7,9,0,3,5,6,9,15,0-1-5-7-9,3-5-6-9-15
741761,home,3,06:04,03:56,236,0,1,5,9,17,-8,3,5,6,7,15,0-1-5-9-17,3-5-6-7-15
741761,home,3,05:24,00:40,40,0,1,5,9,17,-2,3,5,6,16,23,0-1-5-9-17,3-5-6-16-23
741761,home,3,05:03,00:21,21,0,1,5,9,17,0,3,5,6,16,25,0-1-5-9-17,3-5-6-16-25
741761,home,3,02:41,02:22,142,0,1,5,8,9,-1,3,5,6,16,25,0-1-5-8-9,3-5-6-16-25
741761,home,3,02:30,00:11,11,0,1,5,8,9,0,3,5,15,16,25,0-1-5-8-9,3-5-15-16-25
741761,home,3,01:31,00:59,59,0,1,5,8,9,-3,3,7,15,16,25,0-1-5-8-9,3-7-15-16-25
741761,home,3,00:00,01:31,91,0,1,5,7,8,4,3,7,15,16,25,0-1-5-7-8,3-7-15-16-25
741761,home,4,09:10,00:50,50,0,1,5,7,8,6,3,7,15,16,25,0-1-5-7-8,3-7-15-16-25
741761,home,4,07:38,01:32,92,0,1,5,8,9,-5,3,7,15,16,25,0-1-5-8-9,3-7-15-16-25
741761,home,4,04:39,02:59,179,0,1,5,8,9,-1,3,5,7,15,23,0-1-5-8-9,3-5-7-15-23
741761,home,4,01:22,03:17,197,0,1,5,8,9,0,3,5,6,7,23,0-1-5-8-9,3-5-6-7-23
741761,home,4,01:13,00:09,9,0,1,5,8,9,2,3,5,6,7,23,0-1-5-8-9,3-5-6-7-23
741761,home,4,00:31,00:42,42,0,1,5,8,9,-3,3,5,6,23,25,0-1-5-8-9,3-5-6-23-25
741761,home,4,00:16,00:15,15,1,5,8,9,13,0,3,5,6,23,25,1-5-8-9-13,3-5-6-23-25
741761,home,4,00:00,00:16,16,1,4,5,9,11,0,3,5,6,23,25,1-4-5-9-11,3-5-6-23-25
