match_id,our_side,quarter,time_clock,time_played,time_played_seconds,a1,a2,a3,a4,a5,diff,b1,b2,b3,b4,b5,a_lineup_key,b_lineup_key
741625,home,1,06:22,03:38,218,1,5,7,9,33,1,3,6,9,32,77,1-5-7-9-33,3-6-9-32-77
741625,home,1,06:01,00:21,21,1,5,7,9,33,2,3,6,9,32,36,1-5-7-9-33,3-6-9-32-36
741625,home,1,03:38,02:23,143,1,5,7,9,15,-3,3,6,9,32,36,1-5-7-9-15,3-6-9-32-36
741625,home,1,03:08,00:30,30,1,5,7,15,,1,1,3,6,9,13,1-5-7-15,1-3-6-9-13
741625,home,1,02:33,00:35,35,1,5,6,7,15,-2,1,3,6,9,13,1-5-6-7-15,1-3-6-9-13
741625,home,1,01:31,01:02,62,1,6,7,15,16,-4,1,3,6,9,13,1-6-7-15-16,1-3-6-9-13
741625,home,1,00:51,00:40,40,1,6,7,15,16,4,3,6,9,10,13,1-6-7-15-16,3-6-9-10-13
741625,home,1,00:00,00:51,51,1,6,7,15,16,-2,3,6,9,10,13,1-6-7-15-16,3-6-9-10-13
741625,home,2,09:14,00:46,46,2,5,6,7,15,3,3,6,9,10,14,2-5-6-7-15,3-6-9-10-14
741625,home,2,07:57,01:17,77,2,5,6,7,15,3,3,5,6,9,10,2-5-6-7-15,3-5-6-9-10
741625,home,2,06:56,01:01,61,2,5,6,7,33,1,3,5,6,9,10,2-5-6-7-33,3-5-6-9-10
741625,home,2,03:21,03:35,215,2,5,9,23,33,-1,3,5,6,9,10,2-5-9-23-33,3-5-6-9-10
741625,home,2,02:46,00:35,35,5,6,9,23,33,-5,3,5,6,9,10,5-6-9-23-33,3-5-6-9-10
741625,home,2,01:55,00:51,51,6,9,16,23,33,0,1,3,5,6,9,6-9-16-23-33,1-3-5-6-9
741625,home,2,01:13,00:42,42,6,9,16,23,33,2,1,3,5,6,7,6-9-16-23-33,1-3-5-6-7
741625,home,2,00:00,01:13,73,2,6,9,15,16,0,3,5,6,7,9,2-6-9-15-16,3-5-6-7-9
741625,home,3,04:10,05:50,350,2,5,7,15,33,-2,1,3,5,6,9,2-5-7-15-33,1-3-5-6-9
741625,home,3,02:55,01:15,75,2,5,7,15,33,-3,1,3,5,6,9,2-5-7-15-33,1-3-5-6-9
741625,home,3,01:44,01:11,71,5,7,15,23,33,1,1,3,5,6,9,5-7-15-23-33,1-3-5-6-9
741625,home,3,01:06,00:38,38,1,5,9,15,23,3,1,3,5,6,9,1-5-9-15-23,1-3-5-6-9
741625,home,3,00:22,00:44,44,1,9,15,16,23,2,1,3,5,6,9,1-9-15-16-23,1-3-5-6-9
741625,home,3,00:06,00:16,16,1,2,6,9,16,-2,3,5,6,9,13,1-2-6-9-16,3-5-6-9-13
741625,home,3,00:02,00:04,4,1,2,6,23,33,0,1,3,5,6,9,1-2-6-23-33,1-3-5-6-9
741625,home,3,00:00,00:02,2,1,2,5,6,23,0,1,3,5,6,9,1-2-5-6-23,1-3-5-6-9
741625,home,4,09:11,00:49,49,1,2,5,9,23,8,1,3,5,6,9,1-2-5-9-23,1-3-5-6-9
741625,home,4,08:49,00:22,22,2,5,9,23,33,2,1,3,5,6,9,2-5-9-23-33,1-3-5-6-9
741625,home,4,06:22,02:27,147,2,5,7,15,33,-2,1,3,5,6,9,2-5-7-15-33,1-3-5-6-9
741625,home,4,05:08,01:14,74,2,5,7,15,33,4,3,5,6,9,10,2-5-7-15-33,3-5-6-9-10
741625,home,4,04:29,00:39,39,2,5,6,9,33,-4,3,5,6,9,10,2-5-6-9-33,3-5-6-9-10
741625,home,4,04:09,00:20,20,2,5,6,9,33,0,1,3,5,6,9,2-5-6-9-33,1-3-5-6-9
741625,home,4,02:44,01:25,85,2,5,6,9,33,0,1,3,5,6,9,2-5-6-9-33,1-3-5-6-9
741625,home,4,00:34,02:10,130,2,5,6,23,33,1,1,3,5,6,9,2-5-6-23-33,1-3-5-6-9
741625,home,4,00:00,00:34,34,2,5,7,15,33,0,1,3,5,6,9,2-5-7-15-33,1-3-5-6-9
