match_id,our_side,quarter,time_clock,time_played,time_played_seconds,a1,a2,a3,a4,a5,diff,b1,b2,b3,b4,b5,a_lineup_key,b_lineup_key
741657,home,1,05:24,04:36,276,1,5,7,9,33,-4,3,6,9,32,77,1-5-7-9-33,3-6-9-32-77
741657,home,1,04:54,00:30,30,1,5,7,9,33,0,3,4,6,9,77,1-5-7-9-33,3-4-6-9-77
741657,home,1,04:06,00:48,48,1,5,7,9,33,3,3,4,6,7,9,1-5-7-9-33,3-4-6-7-9
741657,home,1,03:12,00:54,54,5,6,7,9,33,-1,3,4,6,7,9,5-6-7-9-33,3-4-6-7-9
741657,home,1,02:16,00:56,56,5,6,7,23,33,-5,3,4,6,7,21,5-6-7-23-33,3-4-6-7-21
741657,home,1,01:50,00:26,26,6,7,16,23,33,0,3,4,7,11,21,6-7-16-23-33,3-4-7-11-21
741657,home,1,00:36,01:14,74,6,15,16,18,23,8,3,4,7,11,21,6-15-16-18-23,3-4-7-11-21
741657,home,1,00:00,00:36,36,6,15,16,18,23,-1,4,6,7,11,21,6-15-16-18-23,4-6-7-11-21
741657,home,2,09:19,00:41,41,5,6,15,16,23,-3,3,4,6,7,11,5-6-15-16-23,3-4-6-7-11
741657,home,2,07:35,01:44,104,5,6,15,16,23,-3,3,6,9,11,77,5-6-15-16-23,3-6-9-11-77
741657,home,2,07:21,00:14,14,5,6,15,16,23,0,3,6,9,32,77,5-6-15-16-23,3-6-9-32-77
741657,home,2,06:37,00:44,44,5,6,9,15,16,5,3,6,9,32,77,5-6-9-15-16,3-6-9-32-77
741657,home,2,04:13,02:24,144,5,6,7,9,33,-2,3,6,9,32,77,5-6-7-9-33,3-6-9-32-77
741657,home,2,03:31,00:42,42,1,5,7,9,33,-2,3,4,6,9,77,1-5-7-9-33,3-4-6-9-77
741657,home,2,03:14,00:17,17,1,5,7,9,33,-1,3,4,6,21,77,1-5-7-9-33,3-4-6-21-77
741657,home,2,02:49,00:25,25,1,5,7,9,33,0,3,4,7,21,77,1-5-7-9-33,3-4-7-21-77
741657,home,2,02:02,00:47,47,1,5,7,9,33,0,4,7,11,21,77,1-5-7-9-33,4-7-11-21-77
741657,home,2,01:46,00:16,16,1,5,7,9,33,0,3,4,7,11,77,1-5-7-9-33,3-4-7-11-77
741657,home,2,00:54,00:52,52,1,5,7,9,33,5,3,7,9,11,77,1-5-7-9-33,3-7-9-11-77
741657,home,2,00:00,00:54,54,5,6,7,9,33,-3,4,7,9,11,77,5-6-7-9-33,4-7-9-11-77
741657,home,3,08:08,01:52,112,5,7,9,23,33,-2,3,6,7,9,77,5-7-9-23-33,3-6-7-9-77
741657,home,3,06:43,01:25,85,5,7,9,23,33,-2,3,6,7,21,77,5-7-9-23-33,3-6-7-21-77
741657,home,3,04:15,02:28,148,5,7,9,23,33,-3,3,6,21,32,77,5-7-9-23-33,3-6-21-32-77
741657,home,3,03:10,01:05,65,6,7,9,16,33,4,3,9,21,32,77,6-7-9-16-33,3-9-21-32-77
741657,home,3,01:08,02:02,122,6,7,9,15,16,2,3,9,21,32,77,6-7-9-15-16,3-9-21-32-77
741657,home,3,00:00,01:08,68,1,5,6,15,16,2,3,9,21,32,77,1-5-6-15-16,3-9-21-32-77
741657,home,4,07:44,02:16,136,5,6,15,16,33,3,3,9,21,32,77,5-6-15-16-33,3-9-21-32-77
741657,home,4,06:41,01:03,63,5,6,9,15,33,1,3,9,21,32,77,5-6-9-15-33,3-9-21-32-77
741657,home,4,06:26,00:15,15,5,6,7,9,33,-4,3,9,21,32,77,5-6-7-9-33,3-9-21-32-77
741657,home,4,04:36,01:50,110,5,6,7,9,33,0,3,6,9,21,77,5-6-7-9-33,3-6-9-21-77
741657,home,4,03:41,00:55,55,5,6,7,9,33,0,3,6,9,21,32,5-6-7-9-33,3-6-9-21-32
741657,home,4,02:50,00:51,51,5,6,7,9,33,1,3,6,9,32,77,5-6-7-9-33,3-6-9-32-77
741657,home,4,01:15,01:35,95,5,6,7,9,23,-1,3,6,9,32,77,5-6-7-9-23,3-6-9-32-77
741657,home,4,00:10,01:05,65,5,6,7,9,33,0,3,6,9,11,77,5-6-7-9-33,3-6-9-11-77
741657,home,4,00:07,00:03,3,5,6,7,9,33,-1,3,4,6,9,11,5-6-7-9-33,3-4-6-9-11
741657,home,4,00:04,00:03,3,5,6,7,9,33,1,3,4,9,32,77,5-6-7-9-33,3-4-9-32-77
741657,home,4,00:00,00:04,4,5,6,7,9,33,0,3,6,9,32,77,5-6-7-9-33,3-6-9-32-77
